cid,dG0_f
C00001, -238.72
C00002,-2814.17
C00003,-2259.37
C00004,-2233.91
C00005,-3069.06
C00006,-3097.90
C00007,   16.40
C00008,-1945.86
C00009,-1093.61
C00010,-3084.05
C00011, -386.00
C00012,     nan
C00013,-1972.39
C00014,  -82.60
C00015,-2491.62
C00016,-2178.63
C00017,     nan
C00018,-1170.10
C00019, -356.71
C00020,-1032.83
C00021, -330.70
C00022, -466.85
C00023,    0.01
C00024,-3224.40
C00025, -692.08
C00026, -790.84
C00027, -133.98
C00028,     nan
C00029,-3147.05
C00030,     nan
C00031, -916.29
C00032,     nan
C00033, -367.90
C00034,   -0.00
C00035,-2175.70
C00036, -793.14
C00037, -379.10
C00038,     nan
C00039,     nan
C00040,     nan
C00041, -366.65
C00042, -678.34
C00043,-3117.86
C00044,-3046.51
C00045,     nan
C00046,     nan
C00047, -357.60
C00048, -471.02
C00049, -697.25
C00050,     nan
C00051, -936.04
C00052,-3144.00
C00053,-2379.21
C00054,-1872.83
C00055,-1360.88
C00058, -347.70
C00059, -745.29
C00060,     nan
C00061,-1367.33
C00062, -281.21
C00063,-3143.49
C00064, -525.82
C00065, -522.00
C00066,     nan
C00067, -124.11
C00068,-1569.19
C00069,     nan
C00070,     nan
C00071,     nan
C00072, -751.99
C00073, -318.78
C00074,-1265.87
C00075,-3361.35
C00076,     nan
C00077, -345.81
C00078, -112.01
C00079, -207.06
C00080,    0.01
C00081,-3068.00
C00082, -370.66
C00083,-3546.52
C00084, -140.32
C00085,-1760.07
C00086, -202.77
C00087,    0.00
C00088,  -73.75
C00089,-1569.11
C00090, -288.04
C00091,-3536.65
C00092,-1762.60
C00093,-1338.11
C00094, -525.34
C00095, -916.38
C00096,-2834.59
C00097, -338.87
C00098,     nan
C00099, -373.43
C00100,-3208.69
C00101, -535.33
C00102, -245.96
C00103,-1755.19
C00104,-2203.42
C00105,-1576.46
C00106, -240.66
C00107,     nan
C00108, -200.83
C00109, -470.24
C00110, -542.40
C00111,-1294.88
C00112,-2274.76
C00113,-1006.04
C00114, -111.54
C00116, -493.63
C00117,-1597.39
C00118,-1289.33
C00119,-3332.71
C00120, -361.60
C00121, -743.36
C00122, -598.26
C00123, -348.14
C00124, -909.34
C00125,    0.00
C00126,   -0.00
